City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
373,Naze,JP,62.4,light rain,28.3667,129.4833,Shishime Hotel
374,Northam,GB,48.42,overcast clouds,51.0333,-4.2167,Durrant House Hotel
375,Malindi,KE,78.31,overcast clouds,-3.2175,40.1191,African House Resort
376,Borshchiv,UA,31.14,overcast clouds,48.8033,26.0435,Hotel Gostynniy Dvir
377,Phenix City,US,69.24,clear sky,32.471,-85.0008,Columbus Marriott
378,Charlestown,AU,70.74,overcast clouds,-32.95,151.6667,Panorama Motor Inn Hotel
379,Ranong,TH,76.42,broken clouds,9.9658,98.6348,Tinidee Hotel@Ranong
381,Puqi,CN,41.07,overcast clouds,29.7167,113.8833,Ramada Plaza Chibi
382,Dingle,PH,74.79,overcast clouds,10.9995,122.6711,SEGAYA PROPERTY
383,Marawi,PH,66.65,overcast clouds,7.9986,124.2928,Derogongan Residence
385,Atherton,GB,46.89,overcast clouds,53.5237,-2.4935,The Lion Inn
386,Blythe,US,71.04,clear sky,33.6103,-114.5964,Rodeway Inn & Suites
388,Lagoa,PT,60.04,overcast clouds,39.05,-27.9833,Casa Das Faias
389,Yarada,IN,77.32,mist,17.65,83.2667,Yarada Jungle Beach Resorts
390,Solaro,IT,46.85,clear sky,44.8799,9.1732,Il Covone di Grano
392,Yalta,UA,40.62,broken clouds,44.5,34.1667,Yalta Inturist
393,Larsnes,NO,42.62,overcast clouds,62.2028,5.5773,Liset Feriesenter AS
394,San Quintin,MX,70.7,clear sky,30.4833,-115.95,Don Eddie's Landing
396,Imbituba,BR,82.29,clear sky,-28.24,-48.6703,Praia Hotel Imbituba
397,Mulhouse,FR,41.59,clear sky,47.6667,7.4167,Auberge Saint-Laurent - HOTEL RESTAURANT
398,Bernalillo,US,42.66,few clouds,35.05,-106.6673,DoubleTree by Hilton Hotel Albuquerque
399,Chuy,UY,75.09,overcast clouds,-33.6971,-53.4616,Nuevo Hotel Plaza
400,Santiago,CL,90.28,clear sky,-33.4569,-70.6483,Che Lagarto Hostel Santiago
401,Guanare,VE,93.09,broken clouds,9.0418,-69.7421,Nuevo Hotel Coromoto
402,Maragogi,BR,85.77,broken clouds,-9.0122,-35.2225,Salinas do Maragogi All Inclusive Resort
403,Gillingham,GB,44.58,overcast clouds,51.3891,0.5486,King Charles Hotel in Kent
404,Nong Chik,TH,77.23,overcast clouds,6.8436,101.178,Bakkahland Farm and Resort
405,Kashan,IR,51.39,clear sky,33.9831,51.4364,Manouchehri Traditional House
407,Guilin,CN,42.91,overcast clouds,25.2819,110.2864,Grand 0773 Hotel
408,Vila Franca Do Campo,PT,65.19,overcast clouds,37.7167,-25.4333,Pestana Bahia Praia
409,Necochea,AR,68.04,clear sky,-38.5473,-58.7368,dyd -mar Hotel
410,Hervey Bay,AU,68.11,overcast clouds,-25.2986,152.8535,Shelly Bay Resort
411,Kindersley,CA,28.18,few clouds,51.4668,-109.1682,Kindersley Inn
412,Vila Velha,BR,76.95,light rain,-20.3297,-40.2925,Quality Suites Vila Velha
